02/05/2021 at 07:00上午 ET,388.11,388.12,387.92,388.05,42087
02/05/2021 at 07:10上午 ET,387.99,388.12,387.94,388.0,20815
02/05/2021 at 07:20上午 ET,388.01,388.04,387.9,387.999,25909
02/05/2021 at 07:30上午 ET,387.97,387.98,387.8,387.94,26053
02/05/2021 at 07:40上午 ET,387.93,387.93,387.77,387.82,9469
02/05/2021 at 07:50上午 ET,387.84,387.87,387.72,387.8,16806
02/05/2021 at 08:00上午 ET,387.8,387.8,387.66,387.67,19370
02/05/2021 at 08:10上午 ET,387.64,387.68,387.52,387.68,20584
02/05/2021 at 08:20上午 ET,387.7,387.89,387.66,387.75,65442
02/05/2021 at 08:30上午 ET,387.55,387.88,387.35,387.79,124884
02/05/2021 at 08:40上午 ET,387.77,387.88,387.69,387.82,17817
02/05/2021 at 08:50上午 ET,387.8,387.97,387.55,387.55,62794
02/05/2021 at 09:00上午 ET,387.7,388.02,387.66,388.0,29780
02/05/2021 at 09:10上午 ET,388.05,388.11,386.19,387.93,209125
02/05/2021 at 09:20上午 ET,387.93,388.26,387.93,388.24,171112
02/05/2021 at 09:30上午 ET,388.21,388.29,387.37,387.6,2234250
02/05/2021 at 09:40上午 ET,387.62,387.95,387.57,387.78,947127
02/05/2021 at 09:50上午 ET,387.7891,387.91,387.042,387.14,1153735
02/05/2021 at 10:00上午 ET,387.15,387.42,386.95,387.22,806948
02/05/2021 at 10:10上午 ET,387.225,387.255,386.49,386.5099,1253900
02/05/2021 at 10:20上午 ET,386.51,387.21,386.485,387.155,1269557
02/05/2021 at 10:30上午 ET,387.15,387.6,387.11,387.55,729051
02/05/2021 at 10:40上午 ET,387.55,387.899,387.41,387.8781,684795
02/05/2021 at 10:50上午 ET,387.875,387.98,387.62,387.695,879297
02/05/2021 at 11:00上午 ET,387.69,387.855,387.3,387.34,652642
02/05/2021 at 11:10上午 ET,387.3364,387.4,387.11,387.209,554261
02/05/2021 at 11:20上午 ET,387.2088,387.47,387.16,387.35,510565
02/05/2021 at 11:30上午 ET,387.3519,387.78,387.3519,387.7127,565719
02/05/2021 at 11:40上午 ET,387.72,387.77,387.63,387.67,355296
02/05/2021 at 11:50上午 ET,387.67,387.6974,387.2913,387.32,440330
02/05/2021 at 12:00下午 ET,387.315,387.73,387.18,387.605,442286
02/05/2021 at 12:10下午 ET,387.6,387.89,387.595,387.87,272304
02/05/2021 at 12:20下午 ET,387.865,387.91,387.72,387.87,291638
02/05/2021 at 12:30下午 ET,387.87,388.04,387.78,388.0297,410342
02/05/2021 at 12:40下午 ET,388.02,388.35,387.9622,388.195,511446
02/05/2021 at 12:50下午 ET,388.1978,388.46,388.13,388.4378,547283
02/05/2021 at 01:00下午 ET,388.4396,388.47,388.07,388.14,407326
02/05/2021 at 01:10下午 ET,388.1201,388.385,388.07,388.357,311147
02/05/2021 at 01:20下午 ET,388.345,388.37,387.98,388.05,500928
02/05/2021 at 01:30下午 ET,388.05,388.1099,387.885,388.0318,365702
02/05/2021 at 01:40下午 ET,388.0335,388.04,387.86,387.875,439643
02/05/2021 at 01:50下午 ET,387.875,387.879,387.563,387.5854,472600
02/05/2021 at 02:00下午 ET,387.5978,387.76,387.41,387.67,643912
02/05/2021 at 02:10下午 ET,387.66,387.82,387.6,387.67,249903
02/05/2021 at 02:20下午 ET,387.67,387.91,387.55,387.85,364422
02/05/2021 at 02:30下午 ET,387.8425,388.03,387.72,387.885,360104
02/05/2021 at 02:40下午 ET,387.88,387.8894,387.5,387.54,339516
02/05/2021 at 02:50下午 ET,387.53,387.62,387.32,387.51,611851
02/05/2021 at 03:00下午 ET,387.52,387.54,387.19,387.3,618731
02/05/2021 at 03:10下午 ET,387.3002,387.7,387.24,387.545,778487
02/05/2021 at 03:20下午 ET,387.5481,387.71,387.19,387.21,792314
02/05/2021 at 03:30下午 ET,387.21,387.7,387.2,387.3727,892424
02/05/2021 at 03:40下午 ET,387.37,387.66,387.23,387.245,1452982
02/05/2021 at 03:50下午 ET,387.24,387.81,387.18,387.68,3244731
02/05/2021 at 04:00下午 ET,387.67,387.97,387.58,387.95,1987963
02/05/2021 at 04:10下午 ET,387.95,388.1,387.6473,388.02,1303871
02/05/2021 at 04:20下午 ET,388.02,388.07,387.98,388.03,56389
02/05/2021 at 04:30下午 ET,388.01,388.07,387.94,388.05,198588
02/05/2021 at 04:40下午 ET,388.07,388.15,388.02,388.12,97631
02/05/2021 at 04:50下午 ET,388.13,388.14,388.07,388.07,22674
02/05/2021 at 05:00下午 ET,388.04,388.06,387.96,388.01,21166
02/05/2021 at 05:10下午 ET,388.0,388.05,387.75,387.9,67802
02/05/2021 at 05:20下午 ET,387.97,388.04,387.97,388.02,15696
02/05/2021 at 05:30下午 ET,388.02,388.09,387.96,388.05,22741
02/05/2021 at 05:40下午 ET,388.1,388.2,387.7,388.1,45566
02/05/2021 at 05:50下午 ET,388.05,388.05,388.0,388.0,10066
02/05/2021 at 06:00下午 ET,388.03,388.03,388.0,388.0,1410
02/05/2021 at 06:10下午 ET,388.09,388.09,388.05,388.05,200
02/05/2021 at 06:20下午 ET,388.08,388.11,388.08,388.1,1932
02/05/2021 at 06:30下午 ET,388.11,388.17,388.01,388.01,4450
02/05/2021 at 06:40下午 ET,388.05,388.05,388.02,388.02,434
02/05/2021 at 06:50下午 ET,388.02,388.05,388.0,388.0,10608
02/05/2021 at 07:00下午 ET,388.08,388.15,388.06,388.15,1867
02/05/2021 at 07:10下午 ET,388.17,388.17,388.02,388.16,1955
02/05/2021 at 07:20下午 ET,388.1,388.1,388.09,388.09,200
02/05/2021 at 07:30下午 ET,388.07,388.12,388.01,388.03,12358
02/05/2021 at 07:40下午 ET,388.08,388.17,388.08,388.15,1941
02/05/2021 at 07:50下午 ET,388.1,388.3,388.1,388.19,4638
02/07/2021 at 08:00下午 ET,388.3,389.48,388.21,389.48,1281
02/07/2021 at 08:10下午 ET,389.47,389.58,389.47,389.55,374
02/07/2021 at 08:20下午 ET,389.58,389.9,389.34,389.34,13
02/07/2021 at 08:30下午 ET,389.84,389.84,389.84,389.84,5
02/07/2021 at 08:40下午 ET,389.5,389.8,389.5,389.65,327
02/07/2021 at 08:50下午 ET,389.71,389.72,389.56,389.64,932
02/07/2021 at 09:00下午 ET,389.55,389.55,389.55,389.55,1
02/07/2021 at 09:20下午 ET,389.69,389.7,389.69,389.7,21
02/07/2021 at 09:40下午 ET,389.7,389.7,389.7,389.7,30
02/07/2021 at 09:50下午 ET,389.7,389.7,389.7,389.7,25
02/07/2021 at 10:00下午 ET,389.67,389.67,389.67,389.67,1
02/07/2021 at 10:10下午 ET,389.69,389.77,389.69,389.77,245
02/07/2021 at 10:20下午 ET,389.72,389.78,389.71,389.71,57
02/07/2021 at 10:30下午 ET,389.74,389.74,389.71,389.72,229
02/07/2021 at 10:40下午 ET,389.72,389.72,389.72,389.72,73
