02/05/2021 at 07:00上午 ET,388.11,388.11,388.05,388.07,9200
02/05/2021 at 07:01上午 ET,388.07,388.12,388.04,388.09,20119
02/05/2021 at 07:02上午 ET,388.0,388.01,387.96,388.0,2889
02/05/2021 at 07:03上午 ET,387.95,387.98,387.93,387.98,4100
02/05/2021 at 07:05上午 ET,388.04,388.049,387.95,387.95,1377
02/05/2021 at 07:06上午 ET,387.97,387.97,387.92,387.92,600
02/05/2021 at 07:07上午 ET,387.92,387.97,387.92,387.97,1002
02/05/2021 at 07:08上午 ET,387.97,388.01,387.97,388.01,2600
02/05/2021 at 07:09上午 ET,388.05,388.05,388.05,388.05,200
02/05/2021 at 07:10上午 ET,387.99,388.02,387.99,388.0,3611
02/05/2021 at 07:11上午 ET,388.0,388.0,387.97,387.97,4194
02/05/2021 at 07:12上午 ET,387.94,387.94,387.94,387.94,200
02/05/2021 at 07:13上午 ET,387.97,388.0,387.97,388.0,3100
02/05/2021 at 07:14上午 ET,388.0,388.0,388.0,388.0,3400
02/05/2021 at 07:15上午 ET,387.98,388.0,387.96,388.0,2500
02/05/2021 at 07:17上午 ET,388.01,388.03,388.01,388.03,400
02/05/2021 at 07:18上午 ET,388.1,388.12,388.1,388.1,3110
02/05/2021 at 07:19上午 ET,388.07,388.07,388.0,388.0,300
02/05/2021 at 07:20上午 ET,388.01,388.01,388.0,388.0,1850
02/05/2021 at 07:21上午 ET,387.96,387.99,387.96,387.97,6199
02/05/2021 at 07:22上午 ET,388.0,388.04,388.0,388.04,3085
02/05/2021 at 07:23上午 ET,387.99,387.99,387.9,387.9,12934
02/05/2021 at 07:26上午 ET,387.95,387.95,387.94,387.94,600
02/05/2021 at 07:27上午 ET,388.0,388.0,388.0,388.0,100
02/05/2021 at 07:28上午 ET,387.97,387.999,387.97,387.999,1141
02/05/2021 at 07:30上午 ET,387.97,387.98,387.93,387.93,8861
02/05/2021 at 07:31上午 ET,387.95,387.95,387.91,387.93,9799
02/05/2021 at 07:33上午 ET,387.92,387.92,387.92,387.92,200
02/05/2021 at 07:34上午 ET,387.9,387.9,387.8,387.8,5416
02/05/2021 at 07:35上午 ET,387.89,387.9,387.89,387.9,377
02/05/2021 at 07:36上午 ET,387.88,387.88,387.88,387.88,100
02/05/2021 at 07:37上午 ET,387.95,387.95,387.95,387.95,300
02/05/2021 at 07:39上午 ET,387.94,387.94,387.94,387.94,1000
02/05/2021 at 07:40上午 ET,387.93,387.93,387.88,387.89,2700
02/05/2021 at 07:41上午 ET,387.85,387.85,387.82,387.82,2600
02/05/2021 at 07:42上午 ET,387.8,387.8,387.8,387.8,500
02/05/2021 at 07:43上午 ET,387.8,387.81,387.79,387.79,2200
02/05/2021 at 07:45上午 ET,387.77,387.85,387.77,387.85,994
02/05/2021 at 07:46上午 ET,387.88,387.88,387.88,387.88,100
02/05/2021 at 07:48上午 ET,387.83,387.84,387.83,387.84,225
02/05/2021 at 07:49上午 ET,387.82,387.82,387.82,387.82,150
02/05/2021 at 07:50上午 ET,387.84,387.84,387.84,387.84,500
02/05/2021 at 07:51上午 ET,387.77,387.77,387.76,387.76,600
02/05/2021 at 07:52上午 ET,387.74,387.75,387.72,387.73,2230
02/05/2021 at 07:53上午 ET,387.77,387.77,387.73,387.73,5150
02/05/2021 at 07:54上午 ET,387.79,387.79,387.79,387.79,100
02/05/2021 at 07:56上午 ET,387.87,387.87,387.85,387.85,500
02/05/2021 at 07:57上午 ET,387.81,387.83,387.8,387.83,5830
02/05/2021 at 07:58上午 ET,387.85,387.85,387.8,387.8,1196
02/05/2021 at 07:59上午 ET,387.77,387.8,387.77,387.8,700
02/05/2021 at 08:00上午 ET,387.8,387.8,387.77,387.79,1123
02/05/2021 at 08:01上午 ET,387.77,387.77,387.74,387.74,3464
02/05/2021 at 08:02上午 ET,387.75,387.77,387.75,387.77,600
02/05/2021 at 08:03上午 ET,387.77,387.8,387.67,387.67,1100
02/05/2021 at 08:04上午 ET,387.72,387.75,387.72,387.74,3100
02/05/2021 at 08:05上午 ET,387.72,387.74,387.72,387.72,2516
02/05/2021 at 08:06上午 ET,387.66,387.69,387.66,387.69,814
02/05/2021 at 08:07上午 ET,387.7,387.73,387.69,387.71,3457
02/05/2021 at 08:08上午 ET,387.69,387.69,387.66,387.67,2208
02/05/2021 at 08:09上午 ET,387.67,387.67,387.67,387.67,988
02/05/2021 at 08:10上午 ET,387.64,387.65,387.6,387.6,4178
02/05/2021 at 08:11上午 ET,387.65,387.65,387.65,387.65,108
02/05/2021 at 08:12上午 ET,387.65,387.65,387.6,387.6,4937
02/05/2021 at 08:14上午 ET,387.55,387.56,387.52,387.52,6320
02/05/2021 at 08:15上午 ET,387.55,387.63,387.55,387.59,690
02/05/2021 at 08:16上午 ET,387.58,387.58,387.55,387.55,200
02/05/2021 at 08:17上午 ET,387.55,387.64,387.55,387.64,1051
02/05/2021 at 08:18上午 ET,387.6,387.63,387.6,387.63,1000
02/05/2021 at 08:19上午 ET,387.67,387.68,387.66,387.68,2100
02/05/2021 at 08:20上午 ET,387.7,387.71,387.67,387.67,2695
02/05/2021 at 08:21上午 ET,387.66,387.68,387.66,387.66,2719
02/05/2021 at 08:22上午 ET,387.72,387.72,387.72,387.72,200
02/05/2021 at 08:23上午 ET,387.8,387.86,387.79,387.8,3859
02/05/2021 at 08:24上午 ET,387.84,387.87,387.84,387.87,2087
02/05/2021 at 08:25上午 ET,387.89,387.89,387.87,387.87,346
02/05/2021 at 08:26上午 ET,387.85,387.85,387.8,387.8,2574
02/05/2021 at 08:27上午 ET,387.79,387.8,387.75,387.75,12695
02/05/2021 at 08:28上午 ET,387.73,387.76,387.7,387.7,16940
02/05/2021 at 08:29上午 ET,387.7,387.77,387.7,387.75,21327
02/05/2021 at 08:30上午 ET,387.55,387.78,387.35,387.64,41439
02/05/2021 at 08:31上午 ET,387.72,387.78,387.4,387.62,21050
02/05/2021 at 08:32上午 ET,387.67,387.7,387.47,387.49,3262
02/05/2021 at 08:33上午 ET,387.5,387.59,387.42,387.52,25396
02/05/2021 at 08:34上午 ET,387.58,387.6,387.5,387.5,4248
02/05/2021 at 08:35上午 ET,387.522,387.69,387.521,387.69,4383
02/05/2021 at 08:36上午 ET,387.7,387.8,387.7,387.7,15124
02/05/2021 at 08:37上午 ET,387.71,387.71,387.68,387.68,4100
02/05/2021 at 08:38上午 ET,387.75,387.83,387.75,387.82,2199
02/05/2021 at 08:39上午 ET,387.88,387.88,387.78,387.79,3683
02/05/2021 at 08:40上午 ET,387.77,387.8,387.73,387.73,1754
02/05/2021 at 08:41上午 ET,387.77,387.8,387.72,387.72,2300
02/05/2021 at 08:42上午 ET,387.73,387.75,387.73,387.75,1258
02/05/2021 at 08:43上午 ET,387.81,387.82,387.78,387.82,2844
02/05/2021 at 08:44上午 ET,387.77,387.77,387.69,387.69,300
02/05/2021 at 08:45上午 ET,387.72,387.83,387.72,387.83,1720
02/05/2021 at 08:46上午 ET,387.83,387.83,387.8,387.8,3027
02/05/2021 at 08:47上午 ET,387.76,387.82,387.75,387.8,2719
02/05/2021 at 08:48上午 ET,387.85,387.88,387.85,387.87,775
02/05/2021 at 08:49上午 ET,387.84,387.84,387.82,387.82,1120
02/05/2021 at 08:50上午 ET,387.8,387.85,387.8,387.8,1206
02/05/2021 at 08:51上午 ET,387.8,387.87,387.8,387.84,2426
02/05/2021 at 08:52上午 ET,387.86,387.97,387.86,387.95,6912
02/05/2021 at 08:53上午 ET,387.95,387.95,387.86,387.86,3954
02/05/2021 at 08:54上午 ET,387.88,387.88,387.88,387.88,600
02/05/2021 at 08:55上午 ET,387.91,387.91,387.87,387.87,24256
02/05/2021 at 08:56上午 ET,387.86,387.86,387.73,387.73,2036
02/05/2021 at 08:57上午 ET,387.73,387.73,387.67,387.71,8607
02/05/2021 at 08:58上午 ET,387.7,387.7,387.56,387.56,10502
02/05/2021 at 08:59上午 ET,387.55,387.55,387.55,387.55,2295
02/05/2021 at 09:00上午 ET,387.7,387.7,387.66,387.68,1468
02/05/2021 at 09:01上午 ET,387.7,387.77,387.7,387.77,1336
02/05/2021 at 09:02上午 ET,387.8,387.82,387.78,387.82,905
02/05/2021 at 09:03上午 ET,387.87,388.02,387.85,388.02,8600
02/05/2021 at 09:04上午 ET,388.02,388.02,387.97,387.97,434
02/05/2021 at 09:05上午 ET,387.98,387.98,387.93,387.95,10104
02/05/2021 at 09:06上午 ET,387.99,387.99,387.84,387.87,1405
02/05/2021 at 09:07上午 ET,387.87,387.87,387.87,387.87,100
02/05/2021 at 09:08上午 ET,387.87,387.92,387.87,387.91,1772
02/05/2021 at 09:09上午 ET,387.92,388.0,387.92,388.0,3656
02/05/2021 at 09:10上午 ET,388.05,388.11,388.03,388.09,5389
02/05/2021 at 09:11上午 ET,388.1,388.11,388.07,388.07,3820
02/05/2021 at 09:12上午 ET,388.09,388.11,388.07,388.09,5302
02/05/2021 at 09:13上午 ET,388.06,388.06,386.19,388.01,38628
02/05/2021 at 09:14上午 ET,388.0,388.01,388.0,388.01,2734
02/05/2021 at 09:15上午 ET,387.99,387.99,387.91,387.91,2550
02/05/2021 at 09:16上午 ET,387.93,387.93,387.86,387.86,22930
02/05/2021 at 09:17上午 ET,387.87,387.94,386.19,387.94,68133
02/05/2021 at 09:18上午 ET,387.94,387.94,387.92,387.93,35799
02/05/2021 at 09:19上午 ET,387.93,387.93,387.92,387.93,23840
02/05/2021 at 09:20上午 ET,387.93,387.99,387.93,387.98,28803
02/05/2021 at 09:21上午 ET,387.98,388.03,387.98,388.03,16839
02/05/2021 at 09:22上午 ET,388.03,388.06,388.03,388.03,13959
02/05/2021 at 09:23上午 ET,388.05,388.05,388.03,388.03,5476
02/05/2021 at 09:24上午 ET,388.05,388.14,388.05,388.14,16305
02/05/2021 at 09:25上午 ET,388.14,388.17,388.12,388.13,15071
02/05/2021 at 09:26上午 ET,388.1,388.16,388.1,388.14,1680
02/05/2021 at 09:27上午 ET,388.16,388.18,388.11,388.17,12849
02/05/2021 at 09:28上午 ET,388.19,388.22,388.13,388.2,42281
02/05/2021 at 09:29上午 ET,388.23,388.26,388.17,388.24,17849
02/05/2021 at 09:30上午 ET,388.21,388.29,388.04,388.19,472625
02/05/2021 at 09:31上午 ET,388.14,388.17,387.92,387.92,234151
02/05/2021 at 09:32上午 ET,387.93,388.14,387.86,387.97,175825
02/05/2021 at 09:33上午 ET,387.96,388.1,387.88,387.8899,229553
02/05/2021 at 09:34上午 ET,387.88,388.04,387.71,387.86,192139
02/05/2021 at 09:35上午 ET,387.84,387.86,387.6,387.71,265797
02/05/2021 at 09:36上午 ET,387.71,387.74,387.55,387.59,213886
02/05/2021 at 09:37上午 ET,387.56,387.62,387.37,387.62,223428
02/05/2021 at 09:38上午 ET,387.62,387.65,387.505,387.59,103684
02/05/2021 at 09:39上午 ET,387.61,387.71,387.56,387.6,123162
02/05/2021 at 09:40上午 ET,387.62,387.75,387.58,387.66,162408
02/05/2021 at 09:41上午 ET,387.67,387.8,387.65,387.745,103783
02/05/2021 at 09:42上午 ET,387.7599,387.795,387.66,387.723,71091
02/05/2021 at 09:43上午 ET,387.72,387.78,387.63,387.64,60101
02/05/2021 at 09:44上午 ET,387.635,387.6799,387.575,387.61,52637
02/05/2021 at 09:45上午 ET,387.62,387.78,387.57,387.71,140856
02/05/2021 at 09:46上午 ET,387.715,387.84,387.62,387.76,111195
02/05/2021 at 09:47上午 ET,387.753,387.82,387.71,387.8,106973
02/05/2021 at 09:48上午 ET,387.79,387.93,387.79,387.88,71008
02/05/2021 at 09:49上午 ET,387.875,387.95,387.77,387.78,67075
02/05/2021 at 09:50上午 ET,387.7891,387.8599,387.77,387.8599,51913
02/05/2021 at 09:51上午 ET,387.85,387.91,387.81,387.815,105947
02/05/2021 at 09:52上午 ET,387.82,387.82,387.71,387.72,90391
02/05/2021 at 09:53上午 ET,387.72,387.79,387.62,387.64,55537
02/05/2021 at 09:54上午 ET,387.64,387.68,387.57,387.58,132632
02/05/2021 at 09:55上午 ET,387.59,387.59,387.19,387.25,252133
02/05/2021 at 09:56上午 ET,387.25,387.26,387.13,387.1381,137256
02/05/2021 at 09:57上午 ET,387.13,387.23,387.07,387.15,151664
02/05/2021 at 09:58上午 ET,387.1495,387.16,387.042,387.08,61458
02/05/2021 at 09:59上午 ET,387.09,387.19,387.08,387.14,114804
02/05/2021 at 10:00上午 ET,387.15,387.23,387.1,387.22,55048
02/05/2021 at 10:01上午 ET,387.24,387.31,387.11,387.155,90756
02/05/2021 at 10:02上午 ET,387.1575,387.19,386.98,386.98,128202
02/05/2021 at 10:03上午 ET,386.99,387.0999,386.95,387.07,70459
02/05/2021 at 10:04上午 ET,387.0699,387.24,387.05,387.16,59766
02/05/2021 at 10:05上午 ET,387.16,387.26,387.14,387.18,104009
02/05/2021 at 10:06上午 ET,387.17,387.35,387.12,387.265,117769
02/05/2021 at 10:07上午 ET,387.2799,387.42,387.275,387.36,71107
02/05/2021 at 10:08上午 ET,387.3644,387.37,387.24,387.29,43675
02/05/2021 at 10:09上午 ET,387.2911,387.33,387.2,387.22,66157
02/05/2021 at 10:10上午 ET,387.225,387.255,387.09,387.091,73743
02/05/2021 at 10:11上午 ET,387.105,387.15,386.89,386.9127,113377
02/05/2021 at 10:12上午 ET,386.92,387.08,386.89,387.08,145299
02/05/2021 at 10:13上午 ET,387.075,387.14,387.0,387.025,59771
02/05/2021 at 10:14上午 ET,387.005,387.05,386.7,386.8599,165477
02/05/2021 at 10:15上午 ET,386.86,386.88,386.71,386.742,135722
02/05/2021 at 10:16上午 ET,386.75,386.81,386.66,386.73,74237
02/05/2021 at 10:17上午 ET,386.75,386.76,386.64,386.7287,83579
02/05/2021 at 10:18上午 ET,386.725,386.73,386.52,386.54,110952
02/05/2021 at 10:19上午 ET,386.55,386.65,386.49,386.5099,291743
02/05/2021 at 10:20上午 ET,386.51,386.755,386.485,386.6999,418687
02/05/2021 at 10:21上午 ET,386.675,386.69,386.6,386.63,128759
02/05/2021 at 10:22上午 ET,386.638,386.66,386.495,386.58,69525
02/05/2021 at 10:23上午 ET,386.585,386.7899,386.55,386.725,95059
02/05/2021 at 10:24上午 ET,386.73,386.84,386.7,386.81,84513
02/05/2021 at 10:25上午 ET,386.82,387.1,386.77,387.069,179700
02/05/2021 at 10:26上午 ET,387.05,387.15,387.01,387.145,120000
02/05/2021 at 10:27上午 ET,387.14,387.18,387.09,387.11,70984
02/05/2021 at 10:28上午 ET,387.1084,387.19,387.08,387.18,58583
02/05/2021 at 10:29上午 ET,387.18,387.21,387.09,387.155,43747
02/05/2021 at 10:30上午 ET,387.15,387.29,387.11,387.25,90863
02/05/2021 at 10:31上午 ET,387.255,387.39,387.23,387.31,86665
02/05/2021 at 10:32上午 ET,387.32,387.43,387.23,387.4,81290
02/05/2021 at 10:33上午 ET,387.4,387.47,387.34,387.46,100724
02/05/2021 at 10:34上午 ET,387.455,387.52,387.42,387.44,65613
02/05/2021 at 10:35上午 ET,387.4419,387.46,387.375,387.427,62922
02/05/2021 at 10:36上午 ET,387.405,387.53,387.39,387.455,41600
02/05/2021 at 10:37上午 ET,387.45,387.6,387.38,387.56,92782
02/05/2021 at 10:38上午 ET,387.54,387.5897,387.5,387.5019,71641
02/05/2021 at 10:39上午 ET,387.5019,387.58,387.48,387.55,34951
02/05/2021 at 10:40上午 ET,387.55,387.62,387.513,387.53,49036
02/05/2021 at 10:41上午 ET,387.54,387.59,387.5019,387.51,49832
02/05/2021 at 10:42上午 ET,387.5,387.53,387.41,387.48,54508
02/05/2021 at 10:43上午 ET,387.48,387.56,387.43,387.56,50259
02/05/2021 at 10:44上午 ET,387.56,387.7399,387.5581,387.7,86373
02/05/2021 at 10:45上午 ET,387.71,387.795,387.59,387.67,110341
02/05/2021 at 10:46上午 ET,387.6719,387.7,387.62,387.66,64591
02/05/2021 at 10:47上午 ET,387.6681,387.72,387.65,387.7,51880
02/05/2021 at 10:48上午 ET,387.6919,387.79,387.6919,387.79,56590
02/05/2021 at 10:49上午 ET,387.78,387.899,387.77,387.8781,111385
02/05/2021 at 10:50上午 ET,387.875,387.95,387.85,387.901,91088
02/05/2021 at 10:51上午 ET,387.9017,387.97,387.81,387.86,101635
02/05/2021 at 10:52上午 ET,387.86,387.91,387.83,387.91,65425
02/05/2021 at 10:53上午 ET,387.91,387.92,387.85,387.86,74796
02/05/2021 at 10:54上午 ET,387.86,387.9201,387.86,387.899,56479
02/05/2021 at 10:55上午 ET,387.9,387.97,387.89,387.96,48482
02/05/2021 at 10:56上午 ET,387.96,387.98,387.82,387.84,97177
02/05/2021 at 10:57上午 ET,387.835,387.88,387.83,387.86,55382
02/05/2021 at 10:58上午 ET,387.855,387.895,387.76,387.77,101436
02/05/2021 at 10:59上午 ET,387.76,387.81,387.62,387.695,187397
02/05/2021 at 11:00上午 ET,387.69,387.81,387.69,387.745,52227
02/05/2021 at 11:01上午 ET,387.75,387.83,387.735,387.81,82732
02/05/2021 at 11:02上午 ET,387.81,387.855,387.8,387.8319,47994
02/05/2021 at 11:03上午 ET,387.835,387.85,387.78,387.78,49986
02/05/2021 at 11:04上午 ET,387.78,387.78,387.62,387.63,111970
02/05/2021 at 11:05上午 ET,387.64,387.66,387.54,387.585,56960
02/05/2021 at 11:06上午 ET,387.59,387.6,387.5381,387.575,45782
02/05/2021 at 11:07上午 ET,387.575,387.58,387.505,387.51,34012
02/05/2021 at 11:08上午 ET,387.505,387.5081,387.33,387.35,104773
